From	To
1433B_HUMAN	YWHAB
1433E_HUMAN	YWHAE
1433F_HUMAN	YWHAH
1433G_HUMAN	YWHAG
1433T_HUMAN	YWHAQ
1433Z_HUMAN	YWHAZ
2A5A_HUMAN	PPP2R5A
2A5D_HUMAN	PPP2R5D
2A5E_HUMAN	PPP2R5E
2AAA_HUMAN	PPP2R1A
2ABA_HUMAN	PPP2R2A
2ABD_HUMAN	PPP2R2D
3HIDH_HUMAN	HIBADH
3MG_HUMAN	MPG
4F2_HUMAN	SLC3A2
5NT1A_HUMAN	NT5C1A
5NT3A_HUMAN	NT5C3A
5NTC_HUMAN	NT5C2
5NTD_HUMAN	NT5E
6PGD_HUMAN	PGD
6PGL_HUMAN	PGLS
A16A1_HUMAN	ALDH16A1
A1AG1_HUMAN	ORM1
A1AG2_HUMAN	ORM2
A1AT_HUMAN	SERPINA1
A1BG_HUMAN	A1BG
A2AP_HUMAN	SERPINF2
A2GL_HUMAN	LRG1
A2MG_HUMAN	A2M
AAAS_HUMAN	AAAS
AACS_HUMAN	AACS
AACT_HUMAN	SERPINA3
AAKB2_HUMAN	PRKAB2
AAKG1_HUMAN	PRKAG1
AAKG2_HUMAN	PRKAG2
AAKG3_HUMAN	PRKAG3
AAMDC_HUMAN	AAMDC
AAMP_HUMAN	AAMP
AAPK1_HUMAN	PRKAA1
AAPK2_HUMAN	PRKAA2
AASD1_HUMAN	AARSD1
AASS_HUMAN	AASS
AATC_HUMAN	GOT1
AATM_HUMAN	GOT2
ABCA5_HUMAN	ABCA5
ABCA6_HUMAN	ABCA6
ABCA7_HUMAN	ABCA7
ABCA8_HUMAN	ABCA8
ABCB6_HUMAN	ABCB6
ABCB7_HUMAN	ABCB7
ABCBA_HUMAN	ABCB10
ABCC9_HUMAN	ABCC9
ABCD1_HUMAN	ABCD1
ABCD3_HUMAN	ABCD3
ABCE1_HUMAN	ABCE1
ABCF1_HUMAN	ABCF1
ABCF2_HUMAN	ABCF2
ABCF3_HUMAN	ABCF3
ABEC2_HUMAN	APOBEC2
ABHD5_HUMAN	ABHD5
ABHDA_HUMAN	ABHD10
ABHDB_HUMAN	ABHD11
ABHEB_HUMAN	ABHD14B
ABHGA_HUMAN	ABHD16A
ABI1_HUMAN	ABI1
ABL1_HUMAN	ABL1
ABLM1_HUMAN	ABLIM1
ABLM2_HUMAN	ABLIM2
ABLM3_HUMAN	ABLIM3
ABR_HUMAN	ABR
ABRA_HUMAN	ABRA
ACACA_HUMAN	ACACA
ACACB_HUMAN	ACACB
ACAD8_HUMAN	ACAD8
ACAD9_HUMAN	ACAD9
ACADL_HUMAN	ACADL
ACADM_HUMAN	ACADM
ACADS_HUMAN	ACADS
ACADV_HUMAN	ACADVL
ACBP_HUMAN	DBI
ACDSB_HUMAN	ACADSB
ACE_HUMAN	ACE
ACES_HUMAN	ACHE
ACINU_HUMAN	ACIN1
ACL6A_HUMAN	ACTL6A
ACLY_HUMAN	ACLY
ACO11_HUMAN	ACOT11
ACO13_HUMAN	ACOT13
ACON_HUMAN	ACO2
ACOT2_HUMAN	ACOT2
ACOT8_HUMAN	ACOT8
ACOT9_HUMAN	ACOT9
ACOX1_HUMAN	ACOX1
ACPH_HUMAN	APEH
ACPM_HUMAN	NDUFAB1
ACS2L_HUMAN	ACSS1
ACSA_HUMAN	ACSS2
ACSF2_HUMAN	ACSF2
ACSF3_HUMAN	ACSF3
ACSL1_HUMAN	ACSL1
ACSL3_HUMAN	ACSL3
ACSL4_HUMAN	ACSL4
ACSS3_HUMAN	ACSS3
ACTBL_HUMAN	ACTBL2
ACTBM_HUMAN	POTEKP
ACTH_HUMAN	ACTG2
ACTN1_HUMAN	ACTN1
ACTN2_HUMAN	ACTN2
ACTN3_HUMAN	ACTN3
ACTN4_HUMAN	ACTN4
ACTS_HUMAN	ACTA1
ACTY_HUMAN	ACTR1B
ACTZ_HUMAN	ACTR1A
ACY1_HUMAN	ACY1
ACY2_HUMAN	ASPA
ACYP2_HUMAN	ACYP2
ADA_HUMAN	ADA
ADA10_HUMAN	ADAM10
ADA15_HUMAN	ADAM15
ADAL_HUMAN	ADAL
ADAM9_HUMAN	ADAM9
ADAS_HUMAN	AGPS
ADCY2_HUMAN	ADCY2
ADDA_HUMAN	ADD1
ADDB_HUMAN	ADD2
ADDG_HUMAN	ADD3
ADH1B_HUMAN	ADH1B
ADHX_HUMAN	ADH5
ADIPO_HUMAN	ADIPOQ
ADIRF_HUMAN	ADIRF
ADK_HUMAN	ADK
ADPPT_HUMAN	AASDHPPT
ADRM1_HUMAN	ADRM1
ADRO_HUMAN	FDXR
ADT1_HUMAN	SLC25A4
ADT2_HUMAN	SLC25A5
ADT3_HUMAN	SLC25A6
ADX_HUMAN	FDX1
AEDO_HUMAN	ADO
AF1L1_HUMAN	AFAP1L1
AFAM_HUMAN	AFM
AFF1_HUMAN	AFF1
AFG32_HUMAN	AFG3L2
AGAP3_HUMAN	AGAP3
AGFG1_HUMAN	AGFG1
AGK_HUMAN	AGK
AGM1_HUMAN	PGM3
AGO1_HUMAN	AGO1
AGO2_HUMAN	AGO2
AGO3_HUMAN	AGO3
AGRIN_HUMAN	AGRN
AHNK_HUMAN	AHNAK
AHSA1_HUMAN	AHSA1
AHSP_HUMAN	AHSP
AIDA_HUMAN	AIDA
AIF1L_HUMAN	AIF1L
AIFM1_HUMAN	AIFM1
AIMP1_HUMAN	AIMP1
AIMP2_HUMAN	AIMP2
AK1A1_HUMAN	AKR1A1
AK1C2_HUMAN	AKR1C2
AK1C3_HUMAN	AKR1C3
AKA12_HUMAN	AKAP12
AKAP1_HUMAN	AKAP1
AKAP2_HUMAN	AKAP2
AKAP6_HUMAN	AKAP6
AKAP8_HUMAN	AKAP8
AKAP9_HUMAN	AKAP9
AKIP_HUMAN	AURKAIP1
AKT1_HUMAN	AKT1
AKT2_HUMAN	AKT2
AKTIP_HUMAN	AKTIP
AKTS1_HUMAN	AKT1S1
AL1A1_HUMAN	ALDH1A1
AL1A2_HUMAN	ALDH1A2
AL1B1_HUMAN	ALDH1B1
AL1L1_HUMAN	ALDH1L1
AL3A2_HUMAN	ALDH3A2
AL4A1_HUMAN	ALDH4A1
AL7A1_HUMAN	ALDH7A1
AL9A1_HUMAN	ALDH9A1
ALAT1_HUMAN	GPT
ALAT2_HUMAN	GPT2
ALBU_HUMAN	ALB
ALDH2_HUMAN	ALDH2
ALDOA_HUMAN	ALDOA
ALDOC_HUMAN	ALDOC
ALDR_HUMAN	AKR1B1
ALG1_HUMAN	ALG1
ALG5_HUMAN	ALG5
ALG9_HUMAN	ALG9
ALKB5_HUMAN	ALKBH5
ALKB7_HUMAN	ALKBH7
ALPK3_HUMAN	ALPK3
ALR_HUMAN	GFER
ALS_HUMAN	IGFALS
ALS2_HUMAN	ALS2
AMBP_HUMAN	AMBP
AMOT_HUMAN	AMOT
AMPB_HUMAN	RNPEP
AMPD1_HUMAN	AMPD1
AMPD3_HUMAN	AMPD3
AMPE_HUMAN	ENPEP
AMPL_HUMAN	LAP3
AMRP_HUMAN	LRPAP1
AN13A_HUMAN	ANKRD13A
AN32A_HUMAN	ANP32A
AN32B_HUMAN	ANP32B
AN32E_HUMAN	ANP32E
ANFY1_HUMAN	ANKFY1
ANGL1_HUMAN	ANGPTL1
ANGT_HUMAN	AGT
ANK1_HUMAN	ANK1
ANK2_HUMAN	ANK2
ANK3_HUMAN	ANK3
ANKR1_HUMAN	ANKRD1
ANKR2_HUMAN	ANKRD2
ANKY2_HUMAN	ANKMY2
ANM1_HUMAN	PRMT1
ANM5_HUMAN	PRMT5
ANO10_HUMAN	ANO10
ANO6_HUMAN	ANO6
ANR23_HUMAN	ANKRD23
ANR28_HUMAN	ANKRD28
ANR35_HUMAN	ANKRD35
ANT3_HUMAN	SERPINC1
ANX11_HUMAN	ANXA11
ANXA1_HUMAN	ANXA1
ANXA2_HUMAN	ANXA2
ANXA3_HUMAN	ANXA3
ANXA4_HUMAN	ANXA4
ANXA5_HUMAN	ANXA5
ANXA6_HUMAN	ANXA6
ANXA7_HUMAN	ANXA7
AOC3_HUMAN	AOC3
AOFA_HUMAN	MAOA
AOFB_HUMAN	MAOB
AP1B1_HUMAN	AP1B1
AP1G1_HUMAN	AP1G1
AP1M1_HUMAN	AP1M1
AP2A1_HUMAN	AP2A1
AP2A2_HUMAN	AP2A2
AP2B1_HUMAN	AP2B1
AP2M1_HUMAN	AP2M1
AP3M1_HUMAN	AP3M1
AP4A_HUMAN	NUDT2
APBB2_HUMAN	APBB2
APEX1_HUMAN	APEX1
API5_HUMAN	API5
APMAP_HUMAN	APMAP
APOA_HUMAN	LPA
APOA1_HUMAN	APOA1
APOA2_HUMAN	APOA2
APOA4_HUMAN	APOA4
APOB_HUMAN	APOB
APOC1_HUMAN	APOC1
APOC2_HUMAN	APOC2
APOC3_HUMAN	APOC3
APOD_HUMAN	APOD
APOE_HUMAN	APOE
APOF_HUMAN	APOF
APOH_HUMAN	APOH
APOL1_HUMAN	APOL1
APOL2_HUMAN	APOL2
APT_HUMAN	APRT
AQP1_HUMAN	AQP1
AQP4_HUMAN	AQP4
ARAF_HUMAN	ARAF
ARAP1_HUMAN	ARAP1
ARBK1_HUMAN	GRK2
ARC1A_HUMAN	ARPC1A
ARF4_HUMAN	ARF4
ARF5_HUMAN	ARF5
ARF6_HUMAN	ARF6
ARFG1_HUMAN	ARFGAP1
ARFG2_HUMAN	ARFGAP2
ARGAL_HUMAN	ARHGEF10L
ARGI1_HUMAN	ARG1
ARGL1_HUMAN	ARGLU1
ARH37_HUMAN	ARHGEF37
ARHG6_HUMAN	ARHGEF6
ARHG7_HUMAN	ARHGEF7
ARHGB_HUMAN	ARHGEF11
ARHL1_HUMAN	ADPRHL1
ARI1_HUMAN	ARIH1
ARI2_HUMAN	ARIH2
ARK72_HUMAN	AKR7A2
ARL1_HUMAN	ARL1
ARL2_HUMAN	ARL2
ARL3_HUMAN	ARL3
ARL8A_HUMAN	ARL8A
ARL8B_HUMAN	ARL8B
ARLY_HUMAN	ASL
ARM10_HUMAN	ARMC10
ARMC1_HUMAN	ARMC1
ARMC6_HUMAN	ARMC6
ARMC8_HUMAN	ARMC8
ARMT1_HUMAN	ARMT1
ARMX2_HUMAN	ARMCX2
ARP10_HUMAN	ACTR10
ARP2_HUMAN	ACTR2
ARP3_HUMAN	ACTR3
ARP5L_HUMAN	ARPC5L
ARPC2_HUMAN	ARPC2
ARPC3_HUMAN	ARPC3
ARPC4_HUMAN	ARPC4
ARPC5_HUMAN	ARPC5
ARRB1_HUMAN	ARRB1
ARSA_HUMAN	ARSA
ARSB_HUMAN	ARSB
ARVC_HUMAN	ARVCF
AS3MT_HUMAN	AS3MT
ASAH1_HUMAN	ASAH1
ASB1_HUMAN	ASB1
ASB10_HUMAN	ASB10
ASB14_HUMAN	ASB14
ASB15_HUMAN	ASB15
ASB2_HUMAN	ASB2
ASB8_HUMAN	ASB8
ASH2L_HUMAN	ASH2L
ASML_HUMAN	ASMTL
ASPC1_HUMAN	ASPSCR1
ASPH_HUMAN	ASPH
ASPM_HUMAN	ASPM
ASPN_HUMAN	ASPN
ASSY_HUMAN	ASS1
AT131_HUMAN	ATP13A1
AT1A1_HUMAN	ATP1A1
AT1A2_HUMAN	ATP1A2
AT1B1_HUMAN	ATP1B1
AT1B3_HUMAN	ATP1B3
AT1B4_HUMAN	ATP1B4
AT2A1_HUMAN	ATP2A1
AT2A2_HUMAN	ATP2A2
AT2A3_HUMAN	ATP2A3
AT2B1_HUMAN	ATP2B1
AT2B2_HUMAN	ATP2B2
AT2B4_HUMAN	ATP2B4
AT2L2_HUMAN	PHYKPL
AT5F1_HUMAN	ATP5PB
AT8A1_HUMAN	ATP8A1
ATAD1_HUMAN	ATAD1
ATD3A_HUMAN	ATAD3A
ATE1_HUMAN	ATE1
ATG2B_HUMAN	ATG2B
ATG3_HUMAN	ATG3
ATG4B_HUMAN	ATG4B
ATG5_HUMAN	ATG5
ATG7_HUMAN	ATG7
ATG9A_HUMAN	ATG9A
ATIF1_HUMAN	ATP5IF1
ATLA2_HUMAN	ATL2
ATLA3_HUMAN	ATL3
