From	To
LG3BP_HUMAN	LGALS3BP
MCCA_HUMAN	MCCC1
KCRB_HUMAN	CKB
CYTB_HUMAN	CSTB
NPS3B_HUMAN	NIPSNAP3B
HSPB3_HUMAN	HSPB3
MAOM_HUMAN	ME2
GRP75_HUMAN	HSPA9
ACTN1_HUMAN	ACTN1
MRP1_HUMAN	ABCC1
ALDH2_HUMAN	ALDH2
NDUAD_HUMAN	NDUFA13
PCDH1_HUMAN	PCDH1
AN32A_HUMAN	ANP32A
IGHA1_HUMAN	IGHA1
ALDR_HUMAN	AKR1B1
H2A2B_HUMAN	H2AC21
CMBL_HUMAN	CMBL
GSTO1_HUMAN	GSTO1
MYL6_HUMAN	MYL6
ECI1_HUMAN	ECI1
CFAB_HUMAN	CFB
EIF3A_HUMAN	EIF3A
TBA4A_HUMAN	TUBA4A
TBB2A_HUMAN	TUBB2A
BCAT2_HUMAN	BCAT2
HSP74_HUMAN	HSPA4
GLGB_HUMAN	GBE1
NDUAB_HUMAN	NDUFA11
PSG5_HUMAN	PSG5
TMTC2_HUMAN	TMTC2
AT5EL_HUMAN	ATP5F1EP2
1433T_HUMAN	YWHAQ
UGPA_HUMAN	UGP2
SUCA_HUMAN	SUCLG1
PGAM2_HUMAN	PGAM2
ACTBM_HUMAN	POTEKP
EZRI_HUMAN	EZR
MYOM1_HUMAN	MYOM1
CRYAB_HUMAN	CRYAB
HCD2_HUMAN	HSD17B10
ATP5J_HUMAN	ATP5PF
ESTD_HUMAN	ESD
DUS3_HUMAN	DUSP3
ACTC_HUMAN	ACTC1
VTDB_HUMAN	GC
ACON_HUMAN	ACO2
CO3_HUMAN	C3
ISK5_HUMAN	SPINK5
HV316_HUMAN	IGHV3-16
DESM_HUMAN	DES
DPYL2_HUMAN	DPYSL2
CYC_HUMAN	CYCS
ECHD3_HUMAN	ECHDC3
SAA1_HUMAN	SAA1
FKB1A_HUMAN	FKBP1A
TCF21_HUMAN	TCF21
IRS2_HUMAN	IRS2
MYG_HUMAN	MB
CLN6_HUMAN	CLN6
THIL_HUMAN	ACAT1
COQ3_HUMAN	COQ3
ACADS_HUMAN	ACADS
IF4A1_HUMAN	EIF4A1
TAGL2_HUMAN	TAGLN2
DOPD_HUMAN	DDT
CH10_HUMAN	HSPE1
KAD4_HUMAN	AK4
HS90A_HUMAN	HSP90AA1
SBP1_HUMAN	SELENBP1
NDUB4_HUMAN	NDUFB4
QCR7_HUMAN	UQCRB
NU5M_HUMAN	MT-ND5
ACSL1_HUMAN	ACSL1
AT1A3_HUMAN	ATP1A3
DECR_HUMAN	DECR1
ATPO_HUMAN	ATP5PO
ADT1_HUMAN	SLC25A4
ATP5L_HUMAN	ATP5MG
NU4M_HUMAN	MT-ND4
CX7A1_HUMAN	COX7A1
QCR8_HUMAN	UQCRQ
ANXA3_HUMAN	ANXA3
NDUS3_HUMAN	NDUFS3
QCR9_HUMAN	UQCR10
ANXA1_HUMAN	ANXA1
NDUBB_HUMAN	NDUFB11
ATP5I_HUMAN	ATP5ME
VDAC1_HUMAN	VDAC1
AT2A2_HUMAN	ATP2A2
MPCP_HUMAN	SLC25A3
VDAC3_HUMAN	VDAC3
ATP6_HUMAN	MT-ATP6
COX41_HUMAN	COX4I1
QCR1_HUMAN	UQCRC1
QCR2_HUMAN	UQCRC2
AOFB_HUMAN	MAOB
LDHA_HUMAN	LDHA
CY1_HUMAN	CYC1
ANXA5_HUMAN	ANXA5
ANXA6_HUMAN	ANXA6
ECHB_HUMAN	HADHB
VDAC2_HUMAN	VDAC2
COX7C_HUMAN	COX7C
NDUS5_HUMAN	NDUFS5
ALDOC_HUMAN	ALDOC
RAB1B_HUMAN	RAB1B
NNTM_HUMAN	NNT
AT5F1_HUMAN	ATP5PB
QCR6_HUMAN	UQCRH
AACT_HUMAN	SERPINA3
M2OM_HUMAN	SLC25A11
CX7A2_HUMAN	COX7A2
NDUBA_HUMAN	NDUFB10
NDUV1_HUMAN	NDUFV1
NB5R1_HUMAN	CYB5R1
RS13_HUMAN	RPS13
ANXA2_HUMAN	ANXA2
HSDL2_HUMAN	HSDL2
COX5A_HUMAN	COX5A
ATPG_HUMAN	ATP5F1C
A1AG1_HUMAN	ORM1
COX2_HUMAN	MT-CO2
NDUS4_HUMAN	NDUFS4
CADH2_HUMAN	CDH2
NDUA8_HUMAN	NDUFA8
NDUA9_HUMAN	NDUFA9
PYGM_HUMAN	PYGM
