#,Channel,TMT1_126,TMT1_127,TMT1_128,TMT1_129,TMT1_130,TMT1_131,TMT10_126,TMT10_127,TMT10_128,TMT10_129,TMT10_130,TMT10_131,TMT11_127,TMT11_128,TMT11_129,TMT11_130,TMT11_131,TMT12_127,TMT12_128,TMT12_129,TMT12_130,TMT12_131,TMT2_126,TMT2_127,TMT2_128,TMT2_129,TMT2_130,TMT2_131,TMT3_126,TMT3_127,TMT3_128,TMT3_129,TMT3_130,TMT3_131,TMT4_126,TMT4_127,TMT4_128,TMT4_129,TMT4_130,TMT4_131,TMT5_126,TMT5_127,TMT5_128,TMT5_129,TMT5_130,TMT5_131,TMT6_126,TMT6_127,TMT6_128,TMT6_129,TMT6_130,TMT6_131,TMT7_126,TMT7_127,TMT7_128,TMT7_129,TMT7_130,TMT7_131,TMT8_126,TMT8_127,TMT8_128,TMT8_129,TMT8_130,TMT8_131,TMT9_126,TMT9_127,TMT9_128,TMT9_129,TMT9_130,TMT9_131,Tissue,Ome,Species
1193,FA12_HUMAN,-0.1356035,0.1356035,0.7463324,-0.8235097,0.4702464,-0.135951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02909388,0.1166794,0.1594184,0.0686264,-0.2147641,0.7442684,-0.02391464,-0.1364256,0.004426524,-0.05757148,0.07794807,NA,NA,NA,NA,NA,NA,-0.087498392,-0.019841024,-0.11374334,0.17927865,0.208467704,-0.350019286,0.06785962,-0.08660837,0.1735305,0.1122108,-0.567362,-0.08465253,NA,NA,NA,NA,NA,NA,0.4133623,-0.04752661,-0.1623625,0.108219,0.04752661,-0.1874234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
1194,FA21A_HUMAN,-0.141028666,-0.257940821,0.424143994,-0.418218128,0.280325802,0.141028666,0.1590922,0.3209535,-0.03992414,-0.1653283,0.03992414,-0.4196647,0.701120166,0,0.638652974,-0.465203149,-0.028152063,NA,NA,NA,NA,NA,0.04402658,0.03329818,-0.03411187,0.03411187,-0.1671204,-0.1431891,-0.1821867,-0.1981868,0.1164583,0.1957022,0.1051868,-0.06847968,0.1976059,-0.1432178,-0.2451882,0.0851127,-0.1250581,0.1501685,0.03778924,-0.1795886,0.1255707,-0.0500907,-0.03331139,0.1014764,NA,NA,NA,NA,NA,NA,0.04032429,-0.2961597,-0.5250123,-0.04032429,0.04915117,0.2980145,NA,NA,NA,NA,NA,NA,-0.4864096,0.06636847,0.09266298,-0.06636847,-0.3313811,0.1770127,SKM,PROT,HUMAN
1195,FA24B_HUMAN,-0.497796834,-0.124123981,0.124123981,-0.305080838,0.26112979,0.437704791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
1196,FA45A_HUMAN,-0.2205995,0.04404214,-0.04404214,0.05075241,0.2761357,-0.06863115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
1197,FA49A_HUMAN,-0.5289577,1.332262,-0.4225332,0.4225332,-0.4417193,1.379342,-0.1451787,-0.01863705,-0.04531719,0.002184199,0.1094766,0.1909428,-0.350330639,0,-0.247572555,0.064030581,0.113147118,NA,NA,NA,NA,NA,-0.1159811,-0.231201,0.1159811,-0.2611474,0.3110406,0.2632507,-0.3244997,0.02944379,0.1327265,0.08241407,-1.049278,0.5678712,0.122614,-0.189492,0.4120346,-0.06614165,-0.1996887,0.1881717,0.2116088,-0.1252312,-0.2471891,-0.001053955,0.001053955,0.2843734,-0.1026581,-0.2063413,-0.05029103,0.054664,-0.1172144,0.2157318,0.1934598,-0.156178,-0.0917192,-0.1580931,0.1495396,0.3707128,-0.418595193,0.005953177,0.1533931,-0.033777292,-0.155201279,0.262309454,-0.099558359,-0.200791637,-0.165621382,0.065855069,0.043941018,0.157253522,SKM,PROT,HUMAN
1198,FA49B_HUMAN,-0.045310866,0.030089762,0.066255306,-0.031964123,-0.082532293,0.028439526,-0.055314805,0.023901474,-0.007540257,0.045521909,-0.003050447,0.042351704,0,0,-0.007769965,0,0,-0.222482436,0,0,0.154476671,0.01172789,0.008780784,0.037838378,-0.0926788,0.006319294,0.020063725,-0.023079516,0.006437122,-0.063213902,0.06290526,-0.006437122,-0.016282977,0.027823084,-0.039390577,0.035488205,-0.030339795,0.349506591,-0.012537338,-0.035488205,0.035126652,-0.050459596,0.078645028,0.056489917,-0.067937202,-0.089318719,0.056602404,0.008864869,-0.012074128,-0.093150716,0.014981399,-0.010474531,-0.021972845,0.013293663,0.031055104,0.002651514,-0.116313534,0.076693972,0.024446343,0.009356313,-0.022910665,-0.015662085,0.052398557,-0.024829886,-0.070254844,-0.085152245,0.075314234,0.085642808,-0.041572665,0.155969687,SKM,PROT,HUMAN
1199,FA5_HUMAN,-0.189550828,-0.023660036,0.192977745,-0.114591326,0.7919206,-0.066439671,-0.249718,1.146984,-0.4201764,-0.03697501,0.1571072,0.03697501,0.195433843,-0.397887585,0,-0.066452761,0.205483782,0,0.3329392,-0.1052744,0.03374447,0.05336566,0.14732985,0.036436661,0.058613415,-0.113254576,-0.036436661,-0.306523422,-0.112698399,0.019027484,0.613450932,0.260318485,-0.447621349,-0.113912702,0.046273247,-0.276292522,-0.345352127,-0.046273247,0.332204909,0.171423861,-0.1994154,0.1132131,-0.009436668,0.1094462,-0.1761458,0.3591639,NA,NA,NA,NA,NA,NA,0.057109361,-0.010000637,-0.079723917,0.003553915,0.322129365,-0.086073391,-0.4854563,-0.05530704,-0.1075046,0.532197,0.06905369,-0.04790749,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
1200,FA65A_HUMAN,-0.002040454,-0.049002016,0.002040454,0.098563419,0.091234222,-0.234246214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02622574,0.2388246,-0.003252376,-0.05041435,-0.03261887,-0.2698847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02157514,-0.05202443,0.04810322,-0.01356707,0.02157514,-0.04610013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
1201,FA9_HUMAN,0.003845447,-0.082063715,0.172825261,-0.01637648,0.159066154,-0.003845447,-0.1404833,1.028864,-0.1852154,0.009248743,0.005755017,-0.009248743,NA,NA,NA,NA,NA,-0.08858457,0.1717146,0.04780554,0,0.03634776,0.038401456,0.058905974,-0.181174738,-0.220981293,0.076323808,0.03980157,-0.2606387,0.03504668,0.4822442,-0.07245645,-0.5982597,0.01333483,0.00262199,-0.1830357,-0.1921692,0.06783331,0.1778484,0.116145,-0.1639653,-0.04106939,0.09423276,-0.2193707,0.01541092,0.3154341,-0.5780854,-0.4958408,0.4680395,0.1494643,-0.1494643,0.368958,0.006791511,-0.191337,0.09054539,0.02107844,-0.1286932,0.05607512,-0.08143715,-0.03270127,-0.1674017,0.2128023,0.175732,0.127354,-0.241647525,0.014267257,-0.053840153,0.277977489,-0.014267257,0.184977913,SKM,PROT,HUMAN
1202,FA96A_HUMAN,-0.1988375,-0.09318446,0.2638062,-0.176533,0.4252241,0.09318446,NA,NA,NA,NA,NA,NA,0.068557508,-0.123398845,-0.043811237,0.012867883,0.104748953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKM,PROT,HUMAN
