entrez_gene	rgd_gene	gene_symbol
26203	620561	Mt-nd6
56816	61797	Prkn
362766	1308327	Alkbh1
84591	69437	Pick1
114552	621015	Bcl2l10
360540	1308869	Akap10
360792	1305845	Styxl1
361191	1311954	Nsun2
59320	708450	Adcy10
308589	1307757	Sphk2
100360437	2322119	Nsun3
688518	1587661	Pabpc5
315866	1311282	Prss35
361147	1562119	Primpol
499015	1565064	Serac1
252853	708499	Stx17
81743	620965	Pde2a
293888	1306839	Plgrkt
316976	735147	Etfbkmt
102548901	7676248	LOC102548901
64547	628774	Bcl2l11
307348	1305892	Spire1
316406	1306941	RGD1306941
367903	1359132	Armcx2
501619	1561629	Armcx1
29240	3363	Polb
116500	620225	Snap29
367902	1549739	Armcx3
363496	1359303	Armcx6
316731	1306451	Mettl4
316561	1311951	Sphkap
289727	1305719	Nat8l
100909598	6502569	Pigbos1
24646	3318	Abcb1b
501072	1562373	Acaa1b
314304	1564089	Acot3
290774	1309066	Adam24
81638	2071	Agtr1b
286921	708475	Akr1b8
299052	1359133	Aldoart2
497229	1359373	Ang2
300060	1309798	Apol11a
503164	1562332	Apol9a
288375	1308239	Cd209a
501745	1565161	Cd300c
303666	1561778	Cd300c2
116711	70954	Ceacam9
679817	1583671	Ces1a
171118	621510	Ces2c
108352362	11409307	Cxx1a
24894	2463	Cyp2a1
24300	2466	Cyp2b1
361523	2467	Cyp2b2
29277	2469	Cyp2c11
100909811	6501637	Dcdc1
364073	1309586	Ddx3y
613221	1587187	Defa10
613223	1562293	Defa6
641631	1566125	Defb2
363483	1359563	Dmrtc1c1
100361997	2319083	Ect2l2
29347	6491947	Faahl
100912289	6487554	Fam9c
292746	1311906	Fcgbpl1
679157	1591840	Fthl17c
171090	620184	Giot1
494500	1591980	Gsta3
501110	1565402	Gsta6
81869	621287	Gstm7
113911	69322	Gucy2e
266704	628603	Gzmf
25632	2782	Hba-a1
689064	1597422	Hbb-bs
680403	1591796	Hist1h2bc
291157	1311828	Hist1h2bo
690131	1584037	Hist2h2aa2
64646	621437	Hist3h2a
682974	1592771	Hsd3b3
500052	1566275	Hyal5
293618	1307601	Ifitm1
689101	1596202	Khdc1b
24594	3175	Klk1b3
288001	1359376	Kng1
311327	1307498	Knl1
501720	1562309	Krtap2-4
102554016	7702025	Krtap29-1
685998	1587778	Lce1c
686125	1585474	Lce1l
294097	1565682	Lipo1
100359421	2323872	LOC100359421
100359968	2323077	LOC100359968
100360781	2321477	LOC100360781
100361009	2320951	LOC100361009
100361664	2319709	LOC100361664
100361969	2319111	LOC100361969
100362319	2318366	LOC100362319
100363116	2324773	LOC100363116
100365958	2318031	LOC100365958
100909423	6503544	LOC100909423
100909438	6503579	LOC100909438
100909461	6503723	LOC100909461
100909544	6502942	LOC100909544
100909593	6502526	LOC100909593
100909600	6502568	LOC100909600
100909605	6502633	LOC100909605
100909712	6501887	LOC100909712
100909795	6501555	LOC100909795
100909797	6501562	LOC100909797
100909849	6501129	LOC100909849
100909862	6501208	LOC100909862
100909884	6501340	LOC100909884
100909993	6500725	LOC100909993
100910526	6497849	LOC100910526
100910636	6497217	LOC100910636
100910646	6497321	LOC100910646
100910669	6497409	LOC100910669
100910717	6496922	LOC100910717
100910779	6496564	LOC100910779
100910837	6496208	LOC100910837
100910887	6495778	LOC100910887
100910898	6495833	LOC100910898
100911033	6495259	LOC100911033
100911035	6495332	LOC100911035
100911790	6491049	LOC100911790
100912008	6489329	LOC100912008
100912217	6488460	LOC100912217
100912294	6487604	LOC100912294
100912427	6486912	LOC100912427
100912509	6486776	LOC100912509
100912515	6486812	LOC100912515
100912586	6486396	LOC100912586
100912605	6485999	LOC100912605
100912783	6485469	LOC100912783
100912990	6485037	LOC100912990
102546572	7531244	LOC102546572
102547963	7612006	LOC102547963
102548076	7716527	LOC102548076
102549785	7594195	LOC102549785
102550892	7595982	LOC102550892
102551406	7742893	LOC102551406
102551453	7499194	LOC102551453
102553180	7632293	LOC102553180
102553760	7588314	LOC102553760
102554838	7714979	LOC102554838
102555599	7579074	LOC102555599
102557117	7665176	LOC102557117
103689943	9219913	LOC103689943
103689964	9321656	LOC103689964
103689977	9205219	LOC103689977
103689978	9388747	LOC103689978
103689986	9097256	LOC103689986
103689988	9087724	LOC103689988
103690022	9315111	LOC103690022
103690086	9294101	LOC103690086
103690091	9286698	LOC103690091
103690114	9160828	LOC103690114
103690156	9251670	LOC103690156
103690352	9409886	LOC103690352
103690371	9361810	LOC103690371
103690410	9162335	LOC103690410
103692150	9264819	LOC103692150
103692166	9477816	LOC103692166
103692719	9330187	LOC103692719
103693563	9356323	LOC103693563
103693823	9134184	LOC103693823
103694381	9083628	LOC103694381
362863	1302940	LOC362863
367746	1584901	LOC367746
498453	1591965	LOC498453
680160	1595464	LOC680160
680200	1594231	LOC680200
684471	1590296	LOC684471
685081	1583222	LOC685081
686967	1591254	LOC686967
687110	1588976	LOC687110
690483	1596028	LOC690483
690826	1591006	LOC690826
691135	1587451	LOC691135
689858	1587522	Magea4
302638	1565778	Magea8
302434	1564443	MGC114483
100526582	4888595	Mir126a
100526574	4888607	Mirlet7f1
114504	620932	Msx3
687030	3124	Muc3
59300	621606	Nat8f1
500237	1561619	Nat8f2
113892	621607	Nat8f3
102549803	7636572	Nat8f4
114020	621610	Nat8f5
246143	708524	Nradd
405182	1334196	Olr1118
287080	1333251	Olr1355
404969	1333854	Olr1491
404983	1333239	Olr1541
288190	1332995	Olr1557
293305	1333201	Olr159
290056	1333503	Olr1645
294151	1334222	Olr1684
294186	1334296	Olr1729
294190	1334001	Olr1735
365336	1332789	Olr192
293350	1333669	Olr203
295715	1332940	Olr443
406044	1333598	Olr444
366099	1333859	Olr482
405378	1333228	Olr53
405941	1332604	Olr545
404852	1332686	Olr613
365324	1334397	Olr67
366123	1333461	Olr745
404943	1333260	Olr931
100361036	2320924	Oxct2a
25133	3266	Pcdhb12
291647	1307591	Pcdhb14
308692	1307664	Peg12
315883	1359107	Plscr2
502998	1561813	Pramef25
502997	1560381	Pramef6
287750	735046	Prp2l1
171162	621401	Reg3a
103691557	9303218	Rfxapl1
501568	1560207	RGD1560207
501890	1561699	RGD1561699
499060	1566248	RGD1566248
363487	1566265	RGD1566265
503423	1561047	Rhox8
298352	1563844	Rhox9
364303	1310106	Rnase1l1
29287	68440	Rps19l2
27139	621044	Rps26
24974	1595923	RT1-A2
499400	1595816	RT1-M5
25540	3623	Sbp
83792	621177	Scd2
499358	1563648	Scd4
299271	727888	Serpina16
24795	3747	Serpina3n
685844	1589042	Sh2d1b2
100360722	2321536	Sirpd
294881	1309208	Slc7a12
170698	621389	Slco1a4
287569	1561538	Slfn14
501712	1564411	Slfn3
360747	1310892	Spag6l
499418	1562578	Spatc1l
317533	1563383	Srsf8
290348	1566115	Synb
287222	1359571	Timd2
498491	1564460	Tlr11
100910318	6499350	Trappc2b
103690254	1560283	Try5
100310845	1565481	Uty
100362068	2318913	Vom1r-ps112
494298	1359134	Vom1r19
494270	1359162	Vom1r25
363830	1564601	Vpreb2
103691095	9407641	Wdr87l
171059	619957	Wfdc18
408225	1303277	Wfdc6b
100359945	2323100	Zfp267
307547	1312031	Zfp35
502968	1563227	Zfp352
308561	1309564	Zfp819
100125361	1642427	Zfp867
100362170	2318713	Zfp964
498425	1561824	Zrsr1
