entrez_gene	rgd_gene	gene_symbol
361074	1359702	Slc25a30
117099	620131	Bdh1
306879	1309416	Fars2
302395	1303086	Abcb7
295241	1559791	Mtx1
299643	1304597	Ndufa7
54311	3862	Timm17a
64040	68409	Aldh9a1
289469	1307997	Mrps18c
316403	1311527	Mars2
81708	621556	Aldh6a1
79122	621648	Fdxr
360821	1309698	Gatc
287069	1359733	Trap1
367196	1564209	Acad8
29539	69219	Aldh2
282819	628670	Ppif
79463	68406	Timm22
24513	2936	Ivd
314196	1306250	L2hgdh
292710	1311034	Ethe1
680747	1588219	Mrpl20
25176	620353	Slc25a5
362145	1305181	Slc25a12
689432	1592330	Mrps21
300075	1303260	Tomm22
170465	620482	Acaa2
301352	1308196	Mrpl30
360481	1306527	Dnaja3
362344	1308130	Ndufb2
287126	1305623	Mrps34
292845	1303312	Etfb
502479	1561501	Afg1l
25392	2181	Atp5if1
171375	620041	Atp5pb
100188937	2300145	Cox7c
296966	1310325	Chchd3
301416	1359509	Coq10b
498962	1586037	Acsf3
287544	1307022	Poldip2
170943	621430	Slc25a10
362322	1565889	Slc25a13
296849	1593276	Pdk3
361602	1311070	Me3
287302	1309277	Mrpl22
361596	1597139	Idh2
364975	1308829	Gcdh
294963	1307531	Mrpl47
310856	1307965	Ppa2
310653	1359171	mrpl9
361824	1359417	Chchd10
690654	1593417	Wars2
303676	1359554	Slc25a19
359725	727826	Cbr4
315166	1311310	Smdt1
24439	2779	Hagh
100910772	6496527	Cox7a1
100910751	6497155	Mtg1
681219	1598052	Cox14
299739	1311462	Ndufa12
688912	1582995	Mrps16
366856	1311836	Mterf2
100361188	2320673	Etfrf1
25062	2726	Gpd2
678759	727968	Ndufa10
293130	1307511	Ndufc2
688717	1585290	Slirp
26197	621239	Mt-atp6
26198	621872	Mt-co2
307210	1307279	Timm21
296658	1306283	Ndufa8
24398	2707	Gls
299310	1563698	Ndufb11
361272	1308092	Dhtkd1
361802	1303158	Hsd17b8
313491	1308910	Hint2
296134	1308318	Mrps5
294231	1302996	RGD1302996
288772	1306649	Spryd4
365314	1305211	Lipt2
117543	70999	Decr1
362216	1308733	Mrps26
306574	1311488	Slc25a15
64539	621020	Ndufv3
361239	1307572	Bphl
298203	1308285	Stoml2
361286	1306026	Msrb2
300803	1304788	Lactb
308416	1303022	Tomm40
246771	628666	Slc25a25
362943	1305504	Adck5
304500	1310159	Acad10
290381	1308772	Vwa8
308820	1308637	Ccdc90b
362666	1307731	Dnajc11
679944	1598126	Alkbh7
309312	1308660	Gldc
503429	1563528	Mpc1l
361992	1304723	Them4
54304	3760	Ssbp1
287635	1309090	Mrpl27
360826	1311005	Hscb
363187	1311516	Mrps10
29223	2078	Ak4
298682	1305964	Atad3a
56281	619820	Mrpl37
311865	1310836	Ptges2
50551	61960	Txnrd2
361637	1309578	Acsm5
294362	1309529	Cisd1
296551	1310241	Mrpl41
171451	621257	Mtarc2
100360017	2322928	Mrps6
64360	68343	Mrpl23
691966	1564504	Sqor
497930	1559538	Sco1
366959	1307291	Gcat
361472	1307311	Mthfd1l
291075	1359427	Eci2
362897	1311971	Uqcrb
641434	620083	Atp5pd
300677	1303259	Atp5mg
288065	1564582	Ccdc58
361884	1310279	Mccc2
293829	1309966	Mcee
301221	1308471	Mocs1
688517	1587662	Mmut
100909697	6502452	Slc25a51
353231	727940	Spg7
114630	620052	Atp5mc3
309532	1308570	Atad1
306270	1311534	Oxnad1
296462	1359243	Mtg2
304919	1308286	Dars2
297601	1306686	Mrpl51
25104	3262	Pc
306198	1304615	Clybl
314075	1311444	Pnpla8
85239	620234	Mlycd
502782	1565524	Pyurf
317374	1561744	Timm17b
291206	1310541	Mrpl32
362403	1308811	Slc25a26
361538	1306761	Prodh2
288174	1310494	Nit2
313786	1561264	Fdx2
307270	1310321	Me2
293481	1305501	Tufm
25278	2385	Cox6a2
498358	1593180	Slc30a9
362419	1586150	Tamm41
54312	3863	Timm23
292268	1309546	Rmnd1
64476	628843	Mfn2
296587	1308635	Dnlz
312559	1310746	Chchd4
293453	1305619	Ndufab1
361638	1306813	Acsm1
503252	1565095	Coa5
498332	1306722	Coq2
365592	1359372	Pdss2
171142	621441	Ehhadh
295923	1309406	Ndufs3
361439	1311222	Abcb10
688698	61977	Ckmt2
297459	1308770	Mrps25
294973	727973	Acad9
100302447	2311610	Cox16
307343	1359600	Fam210a
291135	1306513	Acot13
25757	2396	Cpt1a
266686	708482	Dhrs4
681037	1584707	Prelid2
361184	1311612	Cars2
498174	1566421	Nipsnap2
361385	1308550	Ndufb7
301124	1588578	Micos13
114022	1307950	Glrx2
294767	1309697	Mrps30
63864	69231	Hsd17b10
293128	1305145	Nars2
362416	1307582	Rpusd3
81805	619994	Suox
114123	621125	Sardh
65151	70940	Rida
171335	620638	Cox8a
29270	3753	Spr
360463	1310512	Mpv17
291403	1309999	Zadh2
292244	1306387	Mrpl18
298079	1306737	Aldh1b1
361005	1307134	Chchd1
84383	621801	Timm8a1
83532	621577	Vdac3
310791	1311982	Slc25a24
171087	620902	Mpc1
309111	1307826	Slc25a22
689108	1596195	Slc25a31
681896	1590470	Slc25a18
312616	1308857	Trnt1
25700	2861	Ide
297029	735188	Gstk1
309596	1303122	Vars2
25462	2844	Hspe1
299628	1305694	Mrpl54
303685	1311180	Mrpl38
303673	1307942	Mrpl58
294313	1309262	Mtch1
691278	1586233	Triap1
500199	1565582	Ptcd3
691853	1594623	Cox10
114124	620826	Akap1
360569	1309077	Mrm3
24184	2077	Ak2
500384	1566224	Tmem70
289562	1359460	Noa1
291034	1307673	Mcur1
171432	621692	Tmem14c
689938	1586362	Ndufc1
297334	1307065	Mrpl35
691001	1588687	Ndufa3
100364990	2319976	Pdss1
361836	1311311	Slc25a16
500087	1559476	Fmc1
24763	62086	Acsm3
297821	1309085	Ndufaf6
24860	3931	Ucp1
364678	1308482	Sfxn1
362776	1308383	Glrx5
362113	1310165	Ptrh1
499185	1559901	Mrps11
685823	1589063	Xpnpep3
54705	620393	Pdp1
29740	61892	Eci1
171151	621444	Slc25a21
314441	1308104	Slc25a29
689625	1589953	Slc25a45
362323	1305143	Sdhaf3
494346	1594395	Prelid3b
360636	1306193	Slc25a39
301427	1310737	Ndufb3
300689	1304874	Rexo2
81660	71090	Gatm
84384	71097	Timm10b
