kw_p,fc_1w,fc_2w,fc_4w,fc_8w,pval_1w,pval_2w,pval_4w,pval_8w,tstat_1w,tstat_2w,tstat_4w,tstat_8w,tissue,sex,biomarker
0.12784436333161,0.503450000000003,0.389650000000003,-0.178249999999997,0.180450000000004,0.219373474533679,0.417580268785942,0.916439918193272,0.898021966269861,1.86277845514188,1.44171541373728,-0.625684871567024,0.667669822684193,HYPOTH,female,mt_reads
0.0163609620772756,-0.264875268948282,NA,NA,-0.0230934621873615,0.0244823292512759,NA,NA,0.951806988710718,-2.93066362788052,NA,NA,-0.255513358959719,HYPOTH,female,mtdna
0.111489015947123,-0.0978499999999993,0.25975,0.17535,0.0559499999999975,0.78848408063443,0.100819906879198,0.356455459076343,0.960681906119708,-0.86118822458278,2.28608729009074,1.54327394154922,0.492421882119619,HYPOTH,male,mt_reads
0.344153786865412,0.0232762004184863,NA,NA,0.286945341360486,0.995879748260509,NA,NA,0.639871752856008,0.0733748648843259,NA,NA,0.809057518800233,HYPOTH,male,mtdna
0.743203716574679,0.0516000000000041,0.118800000000009,0.396800000000004,0.467600000000006,0.999722803718672,0.992963276841374,0.677196587445242,0.550254686405222,0.137364212359034,0.316257140082426,1.05632014465234,1.24479662207519,CORTEX,female,mt_reads
0.852143788966211,-0.0248048783478545,NA,NA,0.0126457213284024,0.892943029698468,NA,NA,0.970517909147535,-0.396978374022263,NA,NA,0.20238268540922,CORTEX,female,mtdna
0.921226965025975,-0.135199999999998,-0.00999999999999979,-0.303199999999999,0.166799999999999,0.991491168147483,0.999999708413159,0.867911700311979,0.981624720134284,-0.332574445388166,-0.0245987015819648,-0.745832631965186,0.410306342387179,CORTEX,male,mt_reads
0.00918668615624469,0.0722826004280321,NA,NA,0.277820015194129,0.743299057990414,NA,NA,0.0490138153908701,0.653958581228164,NA,NA,2.51350645794808,CORTEX,male,mtdna
0.231917808718747,0.331400000000006,0.450200000000008,-0.435999999999993,0.0830000000000073,0.835354925085349,0.650913814811626,0.674267961313821,0.998740191429677,0.806210905433322,1.09522072910707,-1.0606757838531,0.201917637751872,HIPPOC,female,mt_reads
0.173773943450445,0.159800148021171,NA,NA,0.208119201821594,0.285861034379408,NA,NA,0.143939425057234,1.45150755041246,NA,NA,1.89040245938843,HIPPOC,female,mtdna
0.144279453884233,-0.2098,-0.00879999999999903,0.115400000000001,0.532199999999994,0.850540315633649,0.999999094246631,0.978502910352886,0.183146437528988,-0.778765528639938,-0.0326650936703085,0.428358160176596,1.97549577856135,HIPPOC,male,mt_reads
0.73344695622429,-0.0122798915542148,NA,NA,0.0562065126156472,0.994554789082692,NA,NA,0.894078913473244,-0.0862319946906392,NA,NA,0.394694014686821,HIPPOC,male,mtdna
0.245681908457706,-4.7687,-4.4532,-4.92860000000001,-6.499,0.184677042386447,0.190898358000573,0.131151901966102,0.0334517333191582,-1.98126042411881,-1.96241124789131,-2.17190785869872,-2.86394293991863,ADRNL,female,mt_reads
0.153683936973138,-0.297845601901829,NA,NA,-0.13598308546994,0.0866196012241454,NA,NA,0.48245281822648,-2.216539384081,NA,NA,-1.07336001589233,ADRNL,female,mtdna
0.0101254944395292,9.68780000000001,4.25180000000001,2.4568,2.71520000000001,0.0024848871546066,0.262092655484546,0.702152540390851,0.62974239271171,4.01897977888154,1.76385745203746,1.01920245264727,1.12639958459291,ADRNL,male,mt_reads
0.133988674668805,0.212740135167484,NA,NA,0.233591270426208,0.317415651111655,NA,NA,0.260511028850377,1.37906799535293,NA,NA,1.51423352619854,ADRNL,male,mtdna
0.114550872040835,0.190400000000001,0.0557999999999996,-0.0865999999999989,0.1144,0.177137781072966,0.937766049387473,0.77523553867639,0.581367120966769,1.99382243402118,0.584324011651159,-0.906854111272223,1.19796894144969,LUNG,female,mt_reads
0.826959133943361,-0.0845355983557159,NA,NA,-0.0428171156766961,0.648196030270077,NA,NA,0.888691898292278,-0.80049373146445,NA,NA,-0.405448513587838,LUNG,female,mtdna
0.610022486891553,-0.184971131801661,0.0241525272199808,-0.664947818622604,-0.313915715338184,0.983706964697902,0.999994268647017,0.435359993043172,0.902540319104707,-0.396839808134585,0.0518171899289664,-1.42658890709851,-0.673479429097151,LUNG,female,clPC1
0.142231505153762,-0.0742686704407902,-0.0689630905548893,-0.253831497166229,-0.0957045732667233,0.741781026339478,0.785381702129752,0.0127603385856088,0.556059197036829,-0.959213713470729,-0.890689732170594,-3.27834942442875,-1.23606816406512,LUNG,female,clPC2
0.196135554887809,0.00735471400769382,-0.0267729323242289,-0.0346326278197963,-0.0902596502114264,0.999459000685883,0.935081952486033,0.857474150462728,0.176636926799776,0.162669376736382,-0.592155753443532,-0.765994160520167,-1.99633609532296,LUNG,female,clPC3
0.329084227790686,0.123894798574747,0.025409220784292,0.48807514183615,0.279784341902799,0.970532293780261,0.99993279434212,0.228988743320715,0.675917621923532,0.46860063679365,0.0961039299221768,1.84602037291813,1.05821327681844,LUNG,female,CL(72:8)>CL(18:2/18:2/18:2/18:2)
0.354420121505401,0.150180180678099,0.00329991456011758,0.494353232594496,0.174176775443425,0.950463179425311,0.999999983549759,0.248785446721908,0.919835810513285,0.545384835221151,0.0119837607764715,1.79526189862222,0.632529349383163,LUNG,female,CL(74:11)
0.0151879221987645,-0.0346000000000006,0.0196000000000001,0.125,-0.196,0.964799914670884,0.995597719105529,0.254514242929038,0.0370145913672397,-0.493165387815276,0.279365364195933,1.78166686349446,-2.79365364195932,LUNG,male,mt_reads
