feature_ID,cluster,ome,tissue,feature_raw,feature,female_1w_before,female_2w_before,female_4w_before,female_8w_before,male_1w_before,male_2w_before,male_4w_before,male_8w_before,female_1w_after,female_2w_after,female_4w_after,female_8w_after,male_1w_after,male_2w_after,male_4w_after,male_8w_after,gene_symbol
ENSRNOG00000000064,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000064,TRNSCRPT;ADRNL;ENSRNOG00000000064,-2.97627453377343,-3.8569680856589,-3.10629820472782,-3.46948215232009,4.12114411464841,0.622216372275417,-0.364470535793239,0.694116075913148,-3.04739730930589,-2.08818003763471,-1.44335874540261,-1.19279831289169,-1.51103596234253,-2.57634313587627,-3.66992332097929,-1.58421764970947,Atp5me
ENSRNOG00000000064,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000000064,TRNSCRPT;BAT;ENSRNOG00000000064,-0.211590989206423,-1.60057110604179,-0.416656224880754,-1.09894359358584,-2.69575386979037,-2.30226074900559,-3.03675373503468,-6.11972726410783,-0.499388699109188,-1.62286114176499,-0.402672592441522,-0.0907414851688282,-2.61321825341283,-2.13875713167801,-1.76084953755798,-2.19298837614659,Atp5me
ENSRNOG00000000122,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000122,TRNSCRPT;ADRNL;ENSRNOG00000000122,-2.41183287543549,-3.04177702019163,-1.98824477042034,-3.24625883353466,3.91354187570756,0.593707107498559,0.0474313012025004,0.143565269312531,-1.73534700433839,-0.821776361595849,0.363928687444676,-1.05081276201732,-1.44562599927057,-2.35096320591247,-2.27662151610328,-2.90155734851854,Ak2
ENSRNOG00000000185,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000185,TRNSCRPT;ADRNL;ENSRNOG00000000185,-1.96403269226819,-2.46090953673133,-2.21240622935434,-1.43767809811176,3.40553540040192,1.36758996818733,0.283851887166535,2.10420636193307,-0.885551611978391,0.437938680364125,0.32522645346466,2.65433102026924,-1.487026225045,-0.0978179347493895,-1.07858802087556,2.03562259071385,Mpst
ENSRNOG00000000279,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000279,TRNSCRPT;ADRNL;ENSRNOG00000000279,-3.20785728363028,-2.10288480455181,-3.49102021687515,-1.81768353928542,3.40143881636332,0.865931991127895,0.222426265477574,1.23615714277169,-2.67563672008157,-0.164813743513265,-2.12860702699754,0.269316367543547,0.164755759556236,-0.271124607555449,-0.522655345017126,0.525594481040882,Rtn4ip1
ENSRNOG00000000279,1,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000000279,TRNSCRPT;SKM-VL;ENSRNOG00000000279,0.208339077514321,-0.626431320776781,2.09438516498723,3.26466065198265,0.69436965342539,0.356388144369319,1.38337619651394,2.30494484959595,-1.19422683547984,-2.11612445190218,-0.649489054613105,-0.18383848247245,0.772614121751807,0.0229034677323897,0.534111429201087,1.40387112529803,Rtn4ip1
ENSRNOG00000000281,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000281,TRNSCRPT;ADRNL;ENSRNOG00000000281,-3.79476590041599,-3.74978260624387,-3.1454962488446,-2.25925242195769,2.58302037275503,-0.0113470848940164,0.0151326158021804,0.849915488047098,-3.3214955178215,-2.20049491226197,-1.73306738103943,-0.497463059847787,-1.68944087424686,-1.95172977494604,-1.10538369045505,-0.272613496847658,Prodh1
ENSRNOG00000000392,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000000392,TRNSCRPT;ADRNL;ENSRNOG00000000392,-1.77100787091858,-2.59819656612567,-1.72272060631111,-2.2325459553443,3.03905698401742,0.291309155727682,-0.0640235073843135,0.675471284833426,-0.726410408101754,-0.629324838070531,0.305902893509894,0.0280573061780705,-0.837267018939295,-1.59664071558243,-1.33016214947755,-0.59235191496094,Supv3l1
ENSRNOG00000000392,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000000392,TRNSCRPT;BAT;ENSRNOG00000000392,1.40744450489814,-0.0988685460899648,1.01841867647472,-0.510970953560008,0.545961731446877,-0.7193404155005,-0.371129722514451,-3.86001200446223,1.29162211951779,0.00199071399397646,1.05782137613685,0.165563797590118,0.755918264618104,-0.475715684800753,0.609143077987184,-0.784643686473489,Supv3l1
ENSRNOG00000000466,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000000466,TRNSCRPT;BAT;ENSRNOG00000000466,-0.0981035105825404,-0.448313532057127,-0.0211019126076053,-0.843814949394094,-0.0567926238686709,0.284005354204573,-1.29560078699677,-4.30245465802969,-0.267103396127938,-0.304382119489749,0.0193213463804459,-0.0769712932675843,0.180823395104265,0.589061246749799,-0.124795284874372,-0.981182384403115,Hsd17b8
ENSRNOG00000000527,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000000527,TRNSCRPT;BAT;ENSRNOG00000000527,-0.364582642992514,0.193479408600395,1.72482719557265,-1.03986302940748,0.181788556938285,0.814400186314463,-1.20284329336331,-4.7647769300401,-0.628088876260015,0.393795134372299,1.96669158698811,-0.0953080731900057,0.454783398189847,1.2091536440847,0.0846739439023414,-1.08948832543309,Mtch1
